City,Country,Temperature,Cloudiness,Humidity,Wind Speed,Latitude,Longitude,Date
Pangnirtung,CA,-25.61,5,67,6.2,66.15,-65.72,
Avarua,CK,78.8,75,94,3.36,-21.21,-159.78,
Ushuaia,AR,53.6,75,81,20.8,-54.81,-68.31,
Merauke,ID,78.45,100,100,11.45,-8.49,140.4,
Anadyr,RU,-2.21,75,77,8.95,64.73,177.51,
Bluff,AU,88.62,0,33,12.46,-23.58,149.07,
Hamilton,CA,11.75,75,72,13.87,43.26,-79.87,
Fairbanks,US,-0.28,90,82,1.72,64.84,-147.72,
Moosomin,CA,-30.91,0,50,4.07,50.14,-101.67,
Veraval,FR,33.22,75,92,10.29,49.65,0.71,
Thompson,CA,-32.81,5,66,3.36,55.74,-97.86,
Te Anau,NZ,49.2,64,88,14.81,-45.41,167.72,
Kiruna,SE,-7.61,0,83,3.36,67.86,20.23,
Pacific Grove,US,51.37,90,79,6.93,36.62,-121.92,
Hilo,US,68,90,87,4.7,19.71,-155.08,
Moose Factory,CA,-34.61,1,73,5.82,51.26,-80.61,
Zhezkazgan,KZ,32,90,97,13.42,47.8,67.71,
Kapaa,US,70.86,75,71,12.75,22.08,-159.32,
Sihora,IN,77,0,27,5.82,23.49,80.11,
Raudeberg,NO,34.99,40,100,8.05,61.99,5.14,
Arraial do Cabo,BR,74.7,20,83,12.75,-22.97,-42.02,
Chokurdakh,RU,-34.96,68,66,3.74,70.62,147.9,
Butaritari,KI,84.21,92,100,8.32,3.07,172.79,
Talnakh,RU,11.85,68,85,18.61,69.49,88.39,
Norman Wells,CA,3.2,75,65,20.8,65.28,-126.83,
Tasiilaq,GL,24.8,88,85,43.62,65.61,-37.64,
Havelock,US,43.61,1,96,4.7,34.88,-76.9,
Ahipara,NZ,66.57,0,91,5.19,-35.17,173.16,
Kibala,TD,95,0,10,9.17,9.11,18.35,
Faanui,PF,84.57,88,98,16.82,-16.48,-151.75,
Georgetown,GY,74.14,75,88,11.41,6.8,-58.16,
Hithadhoo,MV,78.63,92,100,7.43,-0.6,73.08,
Codrington,AU,78.19,8,73,3.36,-28.95,153.24,
Srednekolymsk,RU,-30.82,56,52,2.95,67.46,153.71,
Bredasdorp,ZA,71.6,56,37,11.41,-34.53,20.04,
Krasnyy Yar,RU,33.27,88,99,10.11,50.7,44.73,
Tazovskiy,RU,13.47,80,86,10.78,67.47,78.7,
Busselton,AU,83.13,0,65,8.43,-33.64,115.35,
Albany,US,23.41,90,68,9.17,42.65,-73.75,
Puerto Ayora,EC,76.92,92,100,7.99,-0.74,-90.35,
La Ronge,CA,-32.81,40,66,3.51,55.1,-105.3,
Cape Town,ZA,69.8,20,40,9.17,-33.93,18.42,
Duncan,US,31.8,90,77,21.92,34.5,-97.96,
Hobart,AU,64.4,20,45,13.87,-42.88,147.33,
Lapua,FI,2.68,0,84,1.12,62.97,23.01,
Omsukchan,RU,-34.96,44,59,2.62,62.53,155.8,
Sisimiut,GL,-7.42,68,100,1.05,66.94,-53.67,
Troitskoye,RU,21.84,24,85,2.51,52.98,84.68,
Khandyga,RU,-49.27,20,0,2.62,62.65,135.58,
Punta Arenas,CL,59,75,67,26.4,-53.16,-70.91,
Nikolskoye,RU,14,75,85,2.24,59.7,30.79,
Bintulu,MY,82.4,75,88,5.82,3.17,113.03,
Marshall,US,36.12,90,96,16.11,39.39,-87.69,
Pisco,PE,66.2,56,93,3.36,-13.71,-76.2,
Longyearbyen,NO,-2.21,40,64,11.41,78.22,15.63,
Vaini,IN,84.2,0,25,9.17,15.34,74.49,
Nome,US,66.33,90,85,19.46,30.04,-94.42,
Jamestown,AU,70.62,92,67,8.88,-33.21,138.6,
Mahebourg,MU,87.8,75,66,13.87,-20.41,57.7,
Katsuura,JP,46.4,20,65,1.12,33.93,134.5,
Port Lincoln,AU,68.55,24,79,14.81,-34.72,135.86,
Port Elizabeth,US,32,90,88,4.7,39.31,-74.98,
Port Hardy,CA,46.4,90,81,14.99,50.7,-127.42,
Rudraprayag,IN,58.65,36,58,2.28,30.29,78.98,
Nanortalik,GL,25.89,36,94,34.83,60.14,-45.24,
Khatanga,RU,-4.72,64,67,2.95,71.98,102.47,
Los Llanos de Aridane,ES,60.8,75,82,9.17,28.66,-17.92,
Methoni,GR,50,75,87,4.7,36.82,21.7,
Bria,CF,83.49,0,45,9.44,6.54,21.99,
Nemuro,JP,26.6,40,63,5.82,43.32,145.57,
Tuktoyaktuk,CA,-0.58,0,100,26.33,69.44,-133.03,
Arys,KZ,48.2,0,66,4.47,42.43,68.8,
Hobyo,SO,79.44,68,78,13.13,5.35,48.53,
Palmer,US,7.66,40,75,3.36,61.6,-149.11,
Vega de Alatorre,MX,58.92,8,92,5.64,20.03,-96.65,
Sola,NO,32.23,20,92,6.93,58.89,5.65,
Bol,TD,76.2,0,19,12.12,13.47,14.72,
Kodiak,US,19.6,90,87,29.97,39.95,-94.76,
Bonfim,BR,72.46,20,73,9.17,-20.33,-44.24,
Hasaki,JP,34.56,20,64,2.24,35.73,140.83,
Nelson Bay,AU,69.8,90,100,12.75,-32.72,152.14,
Rikitea,PF,80.7,88,97,15.37,-23.12,-134.97,
Gorokhovets,RU,23,0,73,11.18,56.21,42.68,
Lebu,ET,71.6,20,26,6.93,8.96,38.73,
Fuling,CN,49.02,56,94,1.95,29.71,107.39,
Sainte-Marie,CA,-10.36,5,52,4.7,46.45,-71.03,
Souillac,FR,43.57,48,100,5.82,45.6,-0.6,
Mataura,NZ,56.31,92,72,27.78,-46.19,168.86,
Leningradskiy,RU,-12.46,0,100,16.15,69.38,178.42,
Cockburn Town,TC,76.92,0,100,9.44,21.46,-71.14,
Stokmarknes,NO,25.54,75,92,6.93,68.56,14.91,
Cherskiy,RU,-27.22,56,43,6.64,68.75,161.3,
Lumeje,AO,66.39,92,100,6.98,-11.56,20.78,
Tiksi,RU,-45.67,8,0,3.4,71.64,128.87,
Cap Malheureux,MU,87.8,75,66,13.87,-19.98,57.61,
Chuy,UY,65.13,24,88,18.28,-33.69,-53.46,
Agadez,NE,73.4,32,11,19.46,16.97,7.99,
Mandalgovi,MN,13.92,8,55,7.2,45.76,106.27,
Inuvik,CA,-2.21,90,77,9.17,68.36,-133.71,
